Area Code (ISO3),Area,Item,prices,undernourishment
STP,Sao Tome and Principe,"Consumer Prices, Food Indices (2015 = 100)",177.832913,15.5
IRQ,Iraq,"Consumer Prices, Food Indices (2015 = 100)",109.610127,15.8
SLB,Solomon Islands,"Consumer Prices, Food Indices (2015 = 100)",111.637186,17.5
NIC,Nicaragua,"Consumer Prices, Food Indices (2015 = 100)",140.30956,17.6
NAM,Namibia,"Consumer Prices, Food Indices (2015 = 100)",149.591575,19.1
SSD,South Sudan,"Consumer Prices, Food Indices (2015 = 100)",7726.524381,19.3
AFG,Afghanistan,"Consumer Prices, Food Indices (2015 = 100)",163.012382,20
BWA,Botswana,"Consumer Prices, Food Indices (2015 = 100)",127.989125,20.3
KEN,Kenya,"Consumer Prices, Food Indices (2015 = 100)",181.235982,20.5
TZA,United Republic of Tanzania,"Consumer Prices, Food Indices (2015 = 100)",144.632019,21.9
SLE,Sierra Leone,"Consumer Prices, Food Indices (2015 = 100)",289.653484,24.5
MOZ,Mozambique,"Consumer Prices, Food Indices (2015 = 100)",204.826221,24.8
TCD,Chad,"Consumer Prices, Food Indices (2015 = 100)",103.125813,25.8
COG,Congo,"Consumer Prices, Food Indices (2015 = 100)",111.330376,26.8
PNG,Papua New Guinea,"Consumer Prices, Food Indices (2015 = 100)",126.3793,26.8
GNB,Guinea-Bissau,"Consumer Prices, Food Indices (2015 = 100)",119.918348,27.9
ZMB,Zambia,"Consumer Prices, Food Indices (2015 = 100)",254.611244,30.5
MDG,Madagascar,"Consumer Prices, Food Indices (2015 = 100)",161.517475,30.8
RWA,Rwanda,"Consumer Prices, Food Indices (2015 = 100)",165.614273,31.4
ZWE,Zimbabwe,"Consumer Prices, Food Indices (2015 = 100)",14659.34245,33
UGA,Uganda,"Consumer Prices, Food Indices (2015 = 100)",131.356188,33.3
HTI,Haiti,"Consumer Prices, Food Indices (2015 = 100)",327.639357,38.3
SOM,Somalia,"Consumer Prices, Food Indices (2015 = 100)",147.701917,50.7
