ISO3,country,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average)
NIC,Nicaragua,14.9,,,19.6
NIU,Niue,,,,
NLD,Netherlands (Kingdom of the),1.6,5.5,1.9,2.5
NOR,Norway,,6.8,1.4,2.5
NPL,Nepal,26.7,37.0,13.5,5.7
NRU,Nauru,14.8,,,
NZL,New Zealand,,16.4,3.8,2.5
OMN,Oman,12.7,,,5.7
PAK,Pakistan,34.0,44.9,15.1,20.7
PAN,Panama,13.8,,,5.6
PER,Peru,10.1,51.7,20.3,7.0
PHL,Philippines,28.8,44.1,5.9,5.9
PLW,Palau,,,,
PNG,Papua New Guinea,51.2,57.3,27.0,27.7
POL,Poland,2.3,5.4,0.9,2.5
PRI,Puerto Rico,,,,
PRK,Democratic People's Republic of Korea,16.8,,,
PRT,Portugal,3.1,12.3,3.3,2.5
PRY,Paraguay,3.4,26.2,6.6,4.5
PSE,Palestine,7.5,27.4,4.5,
PYF,French Polynesia,,,,5.4
QAT,Qatar,4.4,,,
ROU,Romania,7.7,19.1,7.1,2.5
RUS,Russian Federation,,4.6,0.5,2.5
RWA,Rwanda,29.8,,,31.4
SAU,Saudi Arabia,12.4,,,3.0
SDN,Sudan,36.0,,,11.4
SEN,Senegal,17.0,29.4,4.0,4.6
SGP,Singapore,3.0,7.7,2.5,
SLB,Solomon Islands,29.8,,,19.4
SLE,Sierra Leone,26.0,88.6,32.3,28.4
SLV,El Salvador,10.0,46.9,15.8,6.8
SOM,Somalia,18.0,79.7,43.5,51.3
SRB,Serbia,4.6,13.0,3.0,2.5
SSD,South Sudan,27.9,87.3,63.2,19.6
STP,Sao Tome and Principe,10.0,54.6,14.1,16.4
SUR,Suriname,7.6,35.8,7.2,10.1
SVK,Slovakia,,9.0,2.0,3.6
SVN,Slovenia,,7.9,0.9,2.5
SWE,Sweden,,6.0,1.8,2.5
SWZ,Eswatini,21.2,55.9,17.2,12.4
SYC,Seychelles,7.2,14.3,3.2,2.5
SYR,Syrian Arab Republic,25.4,,,34.0
TCD,Chad,32.3,76.6,36.4,35.1
TGO,Togo,22.3,57.0,10.9,12.8
THA,Thailand,11.8,7.2,1.4,5.6
TJK,Tajikistan,13.1,28.0,6.7,8.7
TKL,Tokelau,,,,
TKM,Turkmenistan,6.7,,,4.1
TLS,Timor-Leste,45.1,53.7,8.9,15.9
TON,Tonga,1.8,14.8,2.6,
TTO,Trinidad and Tobago,8.8,43.3,10.2,12.6
TUN,Tunisia,8.6,26.7,11.3,3.2
TUR,Türkiye,5.5,,,2.5
TUV,Tuvalu,5.2,,,
TWN,"China, Taiwan Province of",,,,3.7
TZA,United Republic of Tanzania,30.6,58.2,25.4,23.8
UGA,Uganda,23.4,71.2,23.0,36.9
UKR,Ukraine,12.3,31.0,5.3,5.8
URY,Uruguay,6.1,15.7,2.9,2.5
USA,United States of America,3.6,9.1,0.8,2.5
UZB,Uzbekistan,6.9,,,2.5
VCT,Saint Vincent and the Grenadines,,33.3,10.3,4.8
VEN,Venezuela (Bolivarian Republic of),10.5,,,17.6
VNM,Viet Nam,19.3,10.8,2.1,5.2
VUT,Vanuatu,31.4,23.3,2.4,7.9
WSM,Samoa,7.4,23.6,3.4,5.4
YEM,Yemen,35.1,72.5,,39.5
ZAF,South Africa,22.8,19.4,8.4,8.1
ZMB,Zambia,31.4,,,35.4
ZWE,Zimbabwe,21.6,70.7,26.0,38.1
